File,Size_GB,Duration_min,Video_Codec,Resolution,Video_Bitrate_kbps,Audio_Codec,Audio_Channels,Audio_Bitrate_kbps,Quality_Score,Recommendation,Notes
"/mnt/media/legacy-media/Movies/1080p/Rain.Man.1988.720p.BluRay.DTS.x264-CyTSuNee/[247]lvpjRnMn1988/Rain.Man.1988.720p.BluRay.DTS.x264-CyTSuNee.mkv",10.13,133.8,AVC,1280x692,9329,DTS,6,1509,45,MAYBE,"H.264/AVC codec. ⚠ 480p/DVD quality. High-quality audio (DTS). 6ch surround. ? MAYBE - Acceptable but not ideal"
"/mnt/media/legacy-media/Movies/1080p/Rain.Man.1988.720p.BluRay.DTS.x264-CyTSuNee/[247]lvpjRnMn1988/place2useupload/Place2Use.net.Intro.mp4",.01,1.5,AVC,854x480,1297,AAC,2,192,30,RE-RIP,"H.264/AVC codec. ⚠ 480p/DVD quality. ⚠ Compressed audio only. 2ch audio. ✗ RE-RIP - Buy and rip from Blu-ray"
"/mnt/media/legacy-media/Movies/1080p/espace.1987.BRrip.x264-AAC/La folle histoire de l'espace.1987.BRrip.x264-AAC.1G46.mkv",1.45,96.2,AVC,1280x694,1974,AAC,6,192,35,RE-RIP,"H.264/AVC codec. ⚠ 480p/DVD quality. ⚠ Compressed audio only. 6ch surround. ✗ RE-RIP - Buy and rip from Blu-ray"
"/mnt/media/legacy-media/Movies/A.Good.Year.2006.MULTi.1080p.BluRay.x264-ULSHD/a.good.year.2006.multi.1080p.bluray.x264-ulshd.mkv",8.74,117.5,AVC,1920x824,8375,DTSDTS,66,7680001509,65,KEEP,"H.264/AVC codec. 720p. Good bitrate. Unknown audio (DTSDTS). 66ch surround. ✓ KEEP - Good quality"
"/mnt/media/legacy-media/Movies/Birdman (2014)/Birdman (2014).mkv",15.60,119.2,AVC,1920x1040,17073,DTS,6,1509,80,KEEP,"H.264/AVC codec. 720p. ★ Excellent bitrate. High-quality audio (DTS). 6ch surround. ✓ KEEP - Excellent for home theater"
"/mnt/media/legacy-media/Movies/Boyhood (2014)/Boyhood (2014).mkv",16.50,165.6,AVC,1920x1040,12758,DTS,6,1509,80,KEEP,"H.264/AVC codec. 720p. ★ Excellent bitrate. High-quality audio (DTS). 6ch surround. ✓ KEEP - Excellent for home theater"
"/mnt/media/legacy-media/Movies/Brooklyn.2015.1080p.BluRay.X264-AMIABLE/Brooklyn.2015.1080p.BluRay.X264-AMIABLE.mkv",7.64,111.9,AVC,1920x1040,8272,DTS,6,1509,75,KEEP,"H.264/AVC codec. 720p. Good bitrate. High-quality audio (DTS). 6ch surround. ✓ KEEP - Excellent for home theater"
"/mnt/media/legacy-media/Movies/Carol.2015.LIMITED.720p.BluRay.x264-GECKOS/Carol.2015.LIMITED.720p.BluRay.x264-GECKOS (1).mkv",5.46,118.4,AVC,1280x688,5094,DTS,6,1509,45,MAYBE,"H.264/AVC codec. ⚠ 480p/DVD quality. High-quality audio (DTS). 6ch surround. ? MAYBE - Acceptable but not ideal"
"/mnt/media/legacy-media/Movies/District 9 (2009)/District 9 (2009).mkv",13.10,112.4,AVC,1920x1040,15000,DTSAC-3,62,1509000192,70,KEEP,"H.264/AVC codec. 720p. ★ Excellent bitrate. Unknown audio (DTSAC-3). 62ch surround. ✓ KEEP - Good quality"
"/mnt/media/legacy-media/Movies/Dumb And Dumber To (2014)/Dumb And Dumber To (2014).mkv",7.94,109.5,AVC,1920x1040,8872,DTS,6,1509,75,KEEP,"H.264/AVC codec. 720p. Good bitrate. High-quality audio (DTS). 6ch surround. ✓ KEEP - Excellent for home theater"
